"","SampleName","nCNV","meanCNVSize","Std.deviation","minCNVsize","maxCNVsize","nDel","meanDelSize","Del.Std.deviation","minDelSize","maxDelSize","nDup","meanDupSize","Dup.Std.deviation","minDupSize","maxDupSize","MeanTargetExons"
"1","CPF1307007_P-PSeq_0029-P-A_1","52","6149.59615384615","11457.1325969247","320","59589","34","3262.94117647059","5579.45805960213","320","27741","18","11602.1666666667","16888.5529636462","376","59589","2.34615384615385"
"2","CPF1308003_P-PSeq_0038-P-A_1","51","16666.7843137255","40022.3455286237","218","189514","29","12324.6206896552","29363.8500010932","218","151858","22","22390.5454545455","51027.200481916","320","189514","3.45098039215686"
"3","CPF1309006_P-Pseq_0042-P-A_1","57","13821.0526315789","32563.5067781959","320","202405","30","8643.33333333333","13818.1016544724","320","52455","27","19574.0740740741","44784.2019028052","320","202405","3"
"4","CPF1309006_P-Pseq_0043-P-A_1","49","12977.9387755102","20901.5995115686","320","107689","26","14709.6538461538","18027.4113592436","320","54713","23","11020.347826087","24006.9032469805","320","107689","3.24489795918367"
"5","CPF1309006_P-Pseq_0045-P-A_1","64","11535.96875","16599.424813107","218","84476","39","11423.3846153846","15506.9088365144","320","54713","25","11711.6","18506.9480713776","218","84476","3.625"
"6","CPF1312008_P-Pseq-0071-P-A_1","44","26799.5681818182","140189.336222091","320","932894","24","43402.25","189627.355931311","320","932894","20","6876.35","13534.7416216856","320","54713","4.77272727272727"
"7","CPF1312008_P-Pseq-0073-P-A_1","49","10351.5102040816","14141.3549152277","320","54713","26","9834.38461538462","13547.9794362906","320","47704","23","10936.0869565217","15068.6817813788","320","54713","3.26530612244898"
"8","CPF1312008_P-Pseq-0074-P-A_1","56","13691.1607142857","26322.2826157036","320","153666","30","16449.5666666667","29726.6714557858","320","153666","26","10508.3846153846","21899.0595945614","320","84042","3.375"
"9","CPF1403007_P-Pseq-0075-P-A_1_1","46","30235.6739130435","135361.793039749","319","919283","27","43259","175517.152525812","319","919283","19","11728.8421052632","26327.7323373898","319","104090","4.1304347826087"
"10","CPF1403007_P-Pseq-0090-P-A_1_1","49","14363.0204081633","32701.5456250986","320","189514","29","11436.2068965517","24673.9822519582","320","124581","20","18606.9","42099.8748427943","320","189514","3.3469387755102"
"11","CPF1403007_P-Pseq-0091-P-A_1_1","59","5457.66101694915","11420.4413490568","320","57565","29","5195.68965517241","11532.7227924454","320","57565","30","5710.9","11502.2011007489","320","54713","2.3728813559322"
"12","CPF1403007_P-Pseq-0092-P-A_1_1","49","15499.2040816327","36019.7107821882","320","202405","28","12678.8571428571","29157.3689519658","320","137962","21","19259.6666666667","44046.7626680251","320","202405","3.3265306122449"
"13","CPF1403007_P-Pseq-0093-P-A_1_1","51","9605.19607843137","17137.4133941148","320","76029","31","7432.25806451613","13929.0961084289","320","52455","20","12973.25","21139.5216643463","320","76029","2.94117647058824"
"14","CPF1403012_P-Pseq-0095-P-A_1_1","114","4662.14035087719","9721.41086384415","151","54713","63","4533.74603174603","9220.40158136057","151","47704","51","4820.74509803922","10397.9394859619","319","54713","2.14035087719298"
"15","CPF1403012_P-Pseq-0096-P-A_1_1","70","7407.77142857143","12819.4869860178","151","55302","42","8854.28571428571","14782.8253616308","151","55302","28","5238","8944.05800269405","320","42017","2.42857142857143"
"16","CPF1404001_P-Pseq-0051-P-A_1_1","78","7619.39743589744","15594.5632703593","151","108208","54","6881.62962962963","11087.1789431235","151","48811","24","9279.375","22950.8764023483","320","108208","2.26923076923077"
"17","CPF1404001_P-Pseq-0098-P-A_1_1","63","9718.44444444445","22184.8829915253","151","134620","44","7219.75","15917.713766138","151","75394","19","15504.8947368421","32239.1452755717","320","134620","2.66666666666667"
"18","CPF1404001_P-Pseq-0099-P-A_1_1","66","8372.77272727273","24575.3491736962","151","189514","44","5401","10716.4864946818","151","53757","22","14316.3181818182","39732.8006640386","320","189514","2.6969696969697"
"19","CPF1404001_P-Pseq-0100-P-A_1_1","81","13585.0740740741","28186.6235782941","151","189514","54","11124.8888888889","21669.4783993669","151","134620","27","18505.4444444444","38074.4915146948","320","189514","3.20987654320988"
"20","CPF1404001_P-Pseq-0101-P-A_1_1","59","7342.35593220339","16169.3696140559","151","108197","39","7236.61538461538","17892.3876236374","151","108197","20","7548.55","12560.3827651825","319","54713","2.52542372881356"
"21","CPF1404001_P-Pseq-0102-P-A_1_1","58","13176.9310344828","26166.889643387","151","147765","29","9666.34482758621","21371.5419563291","151","103585","29","16687.5172413793","30192.622927772","320","147765","3.01724137931034"
"22","CPF1405001_P-Pseq-0097-P-A_1_1","47","15675.9574468085","30436.7539754713","320","151858","24","15341.7083333333","31612.2855541119","320","151858","23","16024.7391304348","29866.3649722581","320","138754","4.17021276595745"
"23","CPF1405001_P-Pseq-0103-P-A_1_1","44","11001.5454545455","27166.141900205","320","172918","22","8271.90909090909","12140.1835434038","320","35145","22","13731.1818181818","36717.1057807904","320","172918","2.90909090909091"
"24","CPF1405001_P-Pseq-0104-P-A_1_1","38","8556.28947368421","13555.3448557085","319","48325","23","8163.39130434783","14077.6036110849","320","48325","15","9158.73333333333","13173.8972510397","319","36175","2.39473684210526"
"25","CPF1405001_P-Pseq-0105-P-A_1_1","46","8473.15217391304","12645.2841187138","320","54713","27","8012.96296296296","10941.7852413492","320","45745","19","9127.1052631579","15035.1659263458","324","54713","3.02173913043478"
"26","CPF1405001_P-Pseq-0106-P-A_1_1","74","10281.2027027027","21411.6008576453","224","151858","36","10884.4444444444","27050.7477736034","224","151858","38","9709.71052631579","14547.9828339039","319","54713","3.18918918918919"
"27","CPF1405001_P-Pseq-0107-P-A_1_1","49","14116.9591836735","26846.5757701356","320","151858","27","10155.4074074074","17222.199730534","320","53757","22","18978.8636363636","35145.9354763012","326","151858","3.63265306122449"
"28","CPF1405001_P-Pseq-0108-P-A_1_1","46","17040.9347826087","32488.3490017932","320","151858","23","18960.4782608696","33904.5560599826","320","151858","23","15121.3913043478","31650.2670486208","320","138754","3.82608695652174"
"29","CPF1405005_P-Pseq_0109-P-A_1_1","48","9825.66666666667","15250.6980200675","320","74556","30","11479.5666666667","17431.8564597502","320","74556","18","7069.16666666667","10572.9631566446","320","34101","2.9375"
"30","CPF1406003_P-Pseq-0110-P-A_1_1","182","2685.00549450549","8486.01606641937","176","63457","142","2551.01408450704","7921.65067061897","176","52455","40","3160.675","10345.9982215038","320","63457","1.41208791208791"
